"Año";"Periodo";"Han salido de España";"Han vuelto a España"
"2008";"Semestre 1";"17.996";"10.744"
"2008";"Semestre 2";"16.431";"10.344"
"2009";"Semestre 1";"19.266";"9.159"
"2009";"Semestre 2";"19.502";"10.196"
"2010";"Semestre 1";"21.422";"8.801"
"2010";"Semestre 2";"23.039";"10.073"
"2011";"Semestre 1";"27.180";"9.729"
"2011";"Semestre 2";"29.603";"11.832"
"2012";"Semestre 1";"26.375";"9.606"
"2012";"Semestre 2";"31.010";"11.005"
"2013";"Semestre 1";"35.323";"9.768"
"2013";"Semestre 2";"35.745";"11.827"
"2014";"Semestre 1";"33.931";"11.594"
"2014";"Semestre 2";"35.238";"14.106"
"2015";"Semestre 1";"38.826";"13.564"
"2015";"Semestre 2";"36.939";"16.766"
"2016";"Semestre 1";"36.601";"15.582"
"2016";"Semestre 2";"32.610";"18.238"
"2017";"Semestre 1";"35.077";"16.337"
"2017";"Semestre 2";"33.429";"21.851"
"2018";"Semestre 1";"31.638";"18.316"
"2018";"Semestre 2";"29.546";"19.412"
"2019";"Semestre 1";"28.444";"16.492"
"2019";"Semestre 2";"33.666";"19.548"
"2020";"Semestre 1";"29.376";"10.367"
;;;
;;;
"Métrica":"Han salido de España"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Han vuelto a España"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/espanoles-salido-entrado-pais-2008/557db467-77db-46dc-94ed-29c5a83cc185/espana/106"
"Titulo":"Españoles que han salido y entrado del país desde 2008"
"Subtitulo":"El gráfico representa las migraciones de nacidos en España"
